question,answer a,answer b,answer c,answer d,marked,seen
"{Misalnya|Contohnya|Jika} ada {seseorang|individu} yang {ingin|hendak} {mencari|menggali} {pengetahuan baru|wawasan baru} tentang {suatu fenomena|sebuah kejadian} dengan cara {teratur|tertata} dan {sistematis|terstruktur}, {maka|lantas} {kegiatan|aktivitas} tersebut {dapat|bisa} disebut {sebagai apa|apa}?",{Penelitian|Riset|Studi} {yang|yang mana|dimana} dilakukan secara ilmiah {dan|serta} sistematis {untuk|guna|bagi} memajukan ilmu pengetahuan.,Pengamatan bebas tanpa aturan {dan|serta} tanpa tujuan {yang|yang mana|dimana} jelas.,Kegiatan menebak masalah berdasarkan intuisi pribadi saja.,Proses mengumpulkan opini tanpa analisis data.,0,1
"{Contohnya|Misalnya} ada {sebuah proses|suatu rangkaian} yang {berisi|memuat} {langkah-langkah|tahapan} {terstruktur|sistematis} untuk {membantu|memudahkan} peneliti {memilih|menentukan} {teknik|metode} dan {alat|instrumen}, {maka|sehingga} proses tersebut {disebut|dinamakan} {sebagai apa|apa}?",{Metodologi|Studi metode} penelitian sebagai ilmu tentang cara melakukan penelitian secara teratur.,{Metode|Teknik|Cara} penelitian sebagai satu teknik tunggal tanpa tahapan.,Hipotesis penelitian {yang|yang mana|dimana} langsung menghasilkan jawaban.,Eksperimen bebas tanpa perencanaan.,0,1
"{Misalnya|Umpamanya} ada {pernyataan|statemen} bahwa metode {merupakan|adalah} {bagian|unsur} dari metodologi, {maka|lantas} {perbedaan utamanya|bedanya} {dapat|bisa} dijelaskan {bagaimana|seperti apa}?","{Metodologi|Studi metode} berisi tahapan penelitian, sedangkan metode {adalah|merupakan|ialah|yaitu} cara melakukan tindakan pada setiap tahapan tersebut.","{Metodologi|Studi metode} {hanya|cuma|semata-mata} teknik, sedangkan metode {hanya|cuma|semata-mata} teori.","{Metodologi|Studi metode} digunakan setelah penelitian selesai, sedangkan metode sebelum penelitian.",{Metodologi|Studi metode} {tidak|tak|bukan} berkaitan dengan metode dalam penelitian.,0,1
"{Contohnya|Misalnya} ada {penelitian|riset} yang {bertujuan|bermaksud} {menambah|memperkaya} {teori baru|konsep baru} tanpa {harus|wajib} {langsung|segera} {menghasilkan|menciptakan} {aplikasi praktis|penerapan nyata}, {maka|jadi} {jenis|tipe} {penelitian|studi} tersebut {termasuk|tergolong} {apa|kategori apa}?",{Penelitian|Riset|Studi} dasar {yang|yang mana|dimana} berfokus pada pengembangan ilmu pengetahuan.,{Penelitian|Riset|Studi} terapan {yang|yang mana|dimana} langsung digunakan di industri.,{Penelitian|Riset|Studi} korelasional {yang|yang mana|dimana} mencari hubungan variabel.,{Penelitian|Riset|Studi} eksploratif {yang|yang mana|dimana} {hanya|cuma|semata-mata} mencoba-coba topik.,0,1
"{Misalnya|{Contohnya|Misalnya|Seumpama}|Umpamanya} ada studi yang ingin memecahkan {masalah|problematika|persoalan|isu} spesifik yang sedang dihadapi {masyarakat|publik|warga} dan hasilnya harus cepat diterapkan, maka penelitian itu {termasuk|tergolong|masuk} {jenis|kategori|tipe} {apa|mana}?",{Penelitian|Riset|Studi} terapan {yang|yang mana|dimana} berorientasi pada solusi praktis.,{Penelitian|Riset|Studi} dasar {yang|yang mana|dimana} murni menambah teori.,{Penelitian|Riset|Studi} deskriptif {yang|yang mana|dimana} {hanya|cuma|semata-mata} melaporkan keadaan.,{Penelitian|Riset|Studi} kualitatif {yang|yang mana|dimana} {tidak|tak|bukan} menghasilkan solusi langsung.,0,1
"{Contohnya|Misalnya|Seumpama} ada penelitian yang hanya melaporkan apa yang terjadi pada suatu kondisi saat ini tanpa mengontrol variabel, maka penelitian tersebut termasuk apa?",{Penelitian|Riset|Studi} deskriptif {yang|yang mana|dimana} menggambarkan keadaan {yang|yang mana|dimana} berlangsung.,{Penelitian|Riset|Studi} eksperimental {yang|yang mana|dimana} mengatur variabel bebas.,{Penelitian|Riset|Studi} prediktif {yang|yang mana|dimana} meramal masa depan.,{Penelitian|Riset|Studi} korektif {yang|yang mana|dimana} memperbaiki kesalahan data.,0,1
"{Misalnya|{Contohnya|Misalnya|Seumpama}|Umpamanya} ada peneliti yang {menggunakan|memakai|memanfaatkan} {data|informasi|fakta} yang sudah tersedia lalu menganalisisnya secara {kritis|tajam|mendalam} untuk mengevaluasi suatu fenomena, maka itu disebut penelitian apa?",{Penelitian|Riset|Studi} analitik {yang|yang mana|dimana} mengevaluasi fakta {yang|yang mana|dimana} telah ada.,{Penelitian|Riset|Studi} eksploratif {yang|yang mana|dimana} {hanya|cuma|semata-mata} mencari topik baru.,{Penelitian|Riset|Studi} dasar {yang|yang mana|dimana} menambah teori tanpa data lama.,{Penelitian|Riset|Studi} survei {yang|yang mana|dimana} {hanya|cuma|semata-mata} mengumpulkan kuesioner.,0,1
"{Contohnya|Misalnya|Seumpama} ada penelitian yang fokus pada perilaku manusia, sikap, dan kualitas tertentu yang sulit dinyatakan dengan angka, maka penelitian itu {termasuk|tergolong|masuk} {jenis|kategori|tipe} {apa|mana}?",{Penelitian|Riset|Studi} kualitatif {yang|yang mana|dimana} menekankan pada parameter non-angka.,{Penelitian|Riset|Studi} kuantitatif {yang|yang mana|dimana} mengukur jumlah secara statistik.,{Penelitian|Riset|Studi} eksperimental {yang|yang mana|dimana} mengontrol variabel bebas.,{Penelitian|Riset|Studi} prediktif {yang|yang mana|dimana} memperkirakan kejadian masa depan.,0,1
"{Misalnya|{Contohnya|Misalnya|Seumpama}|Umpamanya} ada penelitian yang mengukur jumlah, {menggunakan|memakai|memanfaatkan} statistik, regresi, dan korelasi, maka pendekatan penelitian tersebut {disebut|dinamakan|dikenal sebagai} {apa|sebagai apa}?",{Penelitian|Riset|Studi} kuantitatif {yang|yang mana|dimana} berfokus pada pengukuran numerik.,{Penelitian|Riset|Studi} kualitatif {yang|yang mana|dimana} menganalisis makna subjektif.,{Penelitian|Riset|Studi} eksploratif {yang|yang mana|dimana} mencari ide awal.,{Penelitian|Riset|Studi} deskriptif {yang|yang mana|dimana} {hanya|cuma|semata-mata} menggambarkan fenomena.,0,1
"{Contohnya|Misalnya|Seumpama} ada studi yang ingin mengetahui hubungan antara dua variabel, seperti gaya hidup dan obesitas, maka penelitian tersebut {termasuk|tergolong|masuk} {jenis|kategori|tipe} {apa|mana}?",{Penelitian|Riset|Studi} korelasional {yang|yang mana|dimana} menganalisis hubungan antar variabel.,{Penelitian|Riset|Studi} eksperimental {yang|yang mana|dimana} memanipulasi semua variabel.,{Penelitian|Riset|Studi} dasar {yang|yang mana|dimana} menambah teori murni.,{Penelitian|Riset|Studi} deskriptif {yang|yang mana|dimana} {hanya|cuma|semata-mata} melaporkan kondisi.,0,1
